id;creation_date;title;image;image_content_type;appuser_id
1;2021-05-11T03:59:42;Persistent Avon Cambridgeshire;../fake-data/blob/hipster.png;image/png;1
2;2021-05-10T09:49:06;e-commerce disintermediate;../fake-data/blob/hipster.png;image/png;2
3;2021-05-10T16:40:55;payment;../fake-data/blob/hipster.png;image/png;1
4;2021-05-10T23:53:28;Producer;../fake-data/blob/hipster.png;image/png;1
5;2021-05-10T10:27:15;open-source;../fake-data/blob/hipster.png;image/png;1
6;2021-05-10T15:58:54;Martin Tuna;../fake-data/blob/hipster.png;image/png;2
7;2021-05-10T18:41:25;withdrawal Car;../fake-data/blob/hipster.png;image/png;2
8;2021-05-10T19:31:32;quantifying;../fake-data/blob/hipster.png;image/png;1
9;2021-05-10T11:17:33;Point repurpose Multi-layered;../fake-data/blob/hipster.png;image/png;2
10;2021-05-10T19:24:49;Balboa Plastic;../fake-data/blob/hipster.png;image/png;2
