id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2021-05-10T13:17:14;Arkansas purple;false;1;1
2;2021-05-11T01:24:40;magenta Senior Refined;false;2;2
3;2021-05-11T00:17:05;1080p programming;false;2;3
4;2021-05-10T19:59:24;COM;false;1;4
5;2021-05-10T22:35:24;green Manager indigo;true;2;5
6;2021-05-10T17:03:54;system Plastic Tanzanian;true;2;6
7;2021-05-10T14:47:32;morph killer;true;2;7
8;2021-05-11T03:40:05;e-business Garden;true;1;8
9;2021-05-10T10:17:39;Data Human synthesize;false;2;9
10;2021-05-10T10:00:15;Senior Creek;true;1;10
